,created_at,text
30,Wed Feb 21 20:33:31 +0000 2018,"We've got no structure about us.

Midfield has to do more.

Matic and McTominay should be till where we let the ball."
31,Wed Feb 21 20:31:58 +0000 2018,David de Gea is God's gift.
32,Wed Feb 21 20:30:17 +0000 2018,Put it in the box for a corner.  FFS.
33,Wed Feb 21 20:11:51 +0000 2018,"Martial has to start over Mata too. 

Much more dynamic, retains he ball better too!"
34,Wed Feb 21 20:02:39 +0000 2018,Didn't want him to get injured but I'm sorry can't help but feel excited for Pog. https://t.co/bgxfGZQirr
35,Wed Feb 21 19:58:27 +0000 2018,"I like Herrera, I do. 

But in the CL, please always play Pogba over him!"
37,Sat Feb 17 19:10:42 +0000 2018,"Darmian, Blind, Fellaini need to be tossed out and some talented hard-working replacements brought in. 

Also, Carr… https://t.co/TAu2q6wceO"
38,Sat Feb 17 19:04:05 +0000 2018,"Both Mata and Alexis like to drift to center from the wings. 

Neither is much help defending on the break. 

Where… https://t.co/CdaJxNSWFm"
39,Sat Feb 17 18:58:25 +0000 2018,Carrick will stand between the CBs when we're attacking and disappear when we are under attack and actually need hi… https://t.co/4l9Ioo3KqQ
40,Sat Feb 17 18:56:48 +0000 2018,"We've got a 3 man Central midfield and we are playing offense and defense. 

Can't control the game, at all.
And yo… https://t.co/DMcHEr8MwA"
41,Sat Feb 17 18:48:06 +0000 2018,"Alexis. Just amazing. 

Brilliant finish by Rom."
43,Sat Feb 17 18:19:53 +0000 2018,"VAR is going to kill this sport. 
Unbelievable. 

#FACup"
44,Sat Feb 17 18:01:00 +0000 2018,"Can Romero make one accurate pass, please?

Equivalent of Smalling in goal. 

#MUFC #FACup"
45,Sun Feb 11 16:12:16 +0000 2018,"Smalling is a disgrace. 

Doesn't deserve to put on a Fulham shirt, let alone United. 

#MUFC #NEWMUN"
47,Tue Feb 06 05:03:54 +0000 2018,"A broken plane
A broken dream
A broken heart
A broken team
No words were said
A silent vow
We loved you then
We lov… https://t.co/KruxvVZq39"
48,Tue Feb 06 02:38:53 +0000 2018,"Oh dear, Conte. 

Shouldn't have messed with Jose."
50,Sat Feb 03 16:37:53 +0000 2018,"Jose being ruthless now. 

So happy to see Lukaku being subbed. 
Deserves a rest. Good goal. 

Need him to become a… https://t.co/kE24HEzdUz"
51,Sat Feb 03 16:33:43 +0000 2018,"What a treat it's been to watch McTominay. 

Hope he's able to step into the giant shoes of Scholesy and Carras in midfield. 

#MUFC #MUNHUD"
52,Sat Feb 03 16:24:00 +0000 2018,"Loving the fast movements from United. 
Jose on Shaw's case for being slow to take the throw. 

My kind of United!

#MUFC #MUNHUD"
53,Sat Feb 03 16:05:15 +0000 2018,"I'm glad Alexis is screaming and shouting at Lukaku. 
Has to do more. A lot more. 

#MUFC #MUNHUD"
54,Wed Jan 31 21:56:15 +0000 2018,"Jaitley better present a brilliant budget tomorrow after United's dreadful performance. 

Annoying."
55,Wed Jan 31 21:53:21 +0000 2018,"Mourinho better tell these players that we were absolutely dreadful. 

Can't have this. Not at this club. 

#MUFC #TOTMUN"
56,Wed Jan 31 21:36:49 +0000 2018,I don't think Mata has made one meaningful contribution since he's come on.
57,Wed Jan 31 21:34:22 +0000 2018,We deserve to be 4-0 down today.
58,Wed Jan 31 21:26:05 +0000 2018,"Might as well turn off the tele. 

Took off Lingard and Pog to bring on Mata and Fellaini. Unbelievable. 

Guess Mo… https://t.co/HqQcOMfJtj"
59,Wed Jan 31 20:41:43 +0000 2018,"Jones Smalling are playing horribly today. 

No swagger about midfield. Can't hold the ball and string 3 passes tog… https://t.co/nhrKCy9Qa4"
60,Mon Jan 29 10:32:27 +0000 2018,"If Zlatan does move to LA Galaxy, it'll be a great move for him. Will thrive in USA and destroy competition. 

Woul… https://t.co/tHib9KhIzi"
62,Tue Jan 23 08:26:29 +0000 2018,"@NeeleshJay 
Just as we discussed. :) https://t.co/bZdmjkbLTt"
63,Tue Jan 23 01:42:10 +0000 2018,"How can we ever forget that scorpion kick. 

How can we ever forget the family story you shared once you hit form.… https://t.co/kBYw5fhl9s"
64,Tue Jan 23 01:38:17 +0000 2018,"Welcome home, Alexis. 

We're delighted to have you as our number 7. 

With great power comes great responsibility.… https://t.co/IW3HZUmkIU"
65,Tue Jan 23 01:36:09 +0000 2018,"What a video to introduce Alexis. 
Can (and probably will) watch it all day long. 

#MUFC #AS7 #sanchez"
67,Sun Jan 21 11:47:52 +0000 2018,"Marco Silva sacking is just so stupid. 

Sure, he's not won his last few games. But you're in top 10. And you are f… https://t.co/DGkOxnE6xg"
68,Sat Jan 20 17:01:45 +0000 2018,"Dirty wins are the best wins. 
1-0 

#MUFC #BURMUN"
69,Sat Jan 20 15:50:21 +0000 2018,"Come on. We're better than this. 

Give Alexis a better welcome, lads. 

#BURMUN #mufc"
70,Sat Jan 20 10:40:04 +0000 2018,@NeeleshJay https://t.co/MSHUpFwISv
71,Sat Jan 20 06:03:47 +0000 2018,"@NeeleshJay @ManUtd He won't be playing today against Burnley. 
So let's focus on him once we get the three points.… https://t.co/Tm0ZyhzPOZ"
72,Sat Jan 20 02:49:22 +0000 2018,"@NeeleshJay @ManUtd LOL  Calm down, man. 

It'll happen."
73,Tue Jan 16 14:46:14 +0000 2018,"I really did like Mkhi. 
But something or the other kept happening and it just didn't click. 

If he does end up go… https://t.co/BpyiOMdrmw"
75,Mon Jan 15 21:58:56 +0000 2018,"Alexis does prefer coming on from left. A position where we already have Martial and Rashers. 

Chelsea have been s… https://t.co/sQag1HHqAO"
76,Mon Jan 15 21:41:15 +0000 2018,"Shaw has been progressing well. 

Very assured on the ball, taking good positions. 

Sure, he can improve his shoot… https://t.co/YOAf2vzFPz"
77,Mon Jan 15 21:30:43 +0000 2018,"Well done, Rom. 

Keep going and prove us all wrong by being a legendary striker. 

12 points behind Citeh then. 

#MUFC"
78,Mon Jan 15 20:47:49 +0000 2018,"David de Gea 

I'm lost for adjectives and superlatives. 

Such a joy to watch. 

#MUFC #DDG1"
79,Mon Jan 15 20:41:11 +0000 2018,"Paul Pogba registering two more assists then. 

Bargain at 89mil, just as Jose promised. 

#MUFC #POGBA"
80,Mon Jan 15 20:39:04 +0000 2018,"Martial through Pog. 
Class. 

#MUFC"
81,Mon Jan 15 20:10:52 +0000 2018,"Oh, dear. 

Tony Valencia scores with his LEFT foot. 

Jose Mou or Jesus!
Wine from water. 

#MUFC #MOUIN"
82,Mon Jan 15 15:04:20 +0000 2018,"Whatever we do, we must not even think about selling/exchanging Martial. 

We can wait for another player to become… https://t.co/AXrv4HnyyH"
83,Mon Jan 15 15:00:57 +0000 2018,"Congratulations, Giggsy. 

Good luck, hone your skills and perhaps one day, you'll come back home."
84,Sun Jan 14 17:56:18 +0000 2018,"What a wonderful football match. 

I just love this sport so much."
86,Sun Jan 14 17:26:17 +0000 2018,"Haha. 
Fraud, Pep."
87,Sun Jan 14 17:20:36 +0000 2018,"Finally. 
Just fabulous from Firminho and Mane"
88,Sun Jan 14 15:24:41 +0000 2018,"Part time football club, full time meme club. 

#Arsenal"
89,Sun Jan 14 15:14:37 +0000 2018,"Looks like the little boy inside Sanchez is also screaming for United. 

Please let it happen, Lord."
91,Sun Jan 07 17:28:42 +0000 2018,"And the former European champions proving too strong for the wee club from London.

#FACup #Arsenal #WengerOut"
92,Fri Jan 05 21:48:00 +0000 2018,"Come on, Lukaku. 
Please prove me wrong and be a legendary striker."
93,Fri Jan 05 21:41:29 +0000 2018,"Jesse. Wow. 

What a player he's becoming. Proving me wrong comprehensively.

Brilliant. Messi Lingard. 

#MUFC #FACup"
94,Fri Jan 05 20:35:59 +0000 2018,"Oh, Marcus. 
Should be burying those, mate. 

Can't keep squandering chances. 

#FACup"
96,Mon Jan 01 19:08:59 +0000 2018,"Oh. Jesse. 

2 games Ronaldo. 2 games Torres. 

Thankfully it was the former this game."
97,Mon Jan 01 18:44:58 +0000 2018,"Pogba. Martial. 

Merci.  

1-0"
98,Mon Jan 01 18:28:44 +0000 2018,"Come on lads. We can do better. 

Why can't someone man mark Wazza. He's obviously the midfield general for them.… https://t.co/FIFlHtyObe"
99,Sat Dec 30 13:23:31 +0000 2017,"Yeah. Porto was the richest club in the world.  

He's won us trophies, he's brought in wonderful players.

Just gi… https://t.co/5nivRbs2SD"
100,Fri Dec 29 09:11:28 +0000 2017,"Get us Dybala, please. 
Love him. Just pay 150, he's definitely worth double of van Dijk"
102,Fri Dec 29 04:59:04 +0000 2017,"Timeline full of our players posting training pictures. 

I think I speak for everyone that we'd much rather have y… https://t.co/Zbfs8U2cJi"
103,Tue Dec 26 17:09:14 +0000 2017,"Also we've now conceded 3 goals with Lukaku defending the left of De Gea during set pieces. 

2 against City and 1… https://t.co/43ycDwLZPp"
104,Tue Dec 26 17:07:21 +0000 2017,"I always criticize Lingard but hats off Sir. 
You saved us a lot of embarrassment."
105,Tue Dec 26 17:06:09 +0000 2017,"Romelu Lukaku:
Horrible first touch
Can't hold the ball up
Has piss poor positioning in the box
Can only score head… https://t.co/sSbKRsjtDq"
106,Tue Dec 26 17:03:25 +0000 2017,"Good coming back to 2-2 but should've won this one. 
Just terrible terrible first half. 

#MUFC #MUNBUR"
107,Tue Dec 26 15:53:23 +0000 2017,"Good going, United. 

Best Christmas ever."
108,Sat Dec 23 21:49:54 +0000 2017,"We might actually be giving City a guard of honor in April. 

What's become of us."
109,Sat Dec 23 21:45:08 +0000 2017,"How do we have such shite players and such poor concentration!

Jose should be giving these lads a right dressing d… https://t.co/8n7J0bmAid"
110,Sat Dec 23 21:38:53 +0000 2017,"How the fuck can we concede two goals in the last minute in the last two games. 

Jesus Christ"
111,Sat Dec 23 21:26:38 +0000 2017,"I don't get trying to round the keeper all the time. 

When the odds are in your favor, just go direct!

#MUFC #LeiMun"
112,Sat Dec 23 21:15:56 +0000 2017,"Jesse Lingard. 2 games Ronaldo, 2 games Torres."
113,Sat Dec 23 21:05:19 +0000 2017,"Kasper at fault. But I'll take it. 

Don't bloody well concede now, lads. Please."
115,Sat Dec 23 20:25:52 +0000 2017,"These kind of tweets always work. 

1-1. 

Lukaku is so shit. :p https://t.co/LEw7xc7aKu"
116,Sat Dec 23 19:55:45 +0000 2017,"Martial is so so good. 

If only Mata was half as good. 

#MUFC #LeiMun"
117,Wed Dec 20 21:53:42 +0000 2017,"Congratulations, Bristol. 

But what the hell were we upto. 
Nightmare. 

#MUFC"
118,Wed Dec 20 21:51:39 +0000 2017,Geez.  Goodbye.
119,Wed Dec 20 21:24:11 +0000 2017,"Calm done, Romero."
120,Wed Dec 20 21:21:23 +0000 2017,"Pogba. What a ball. 

89mil bargain!"
121,Sun Dec 17 15:12:14 +0000 2017,"Lukaku being Mario. 
Does the postman celebrate when he brings you letters?

#MUFC #WBAMUN"
122,Sun Dec 17 15:09:59 +0000 2017,"Should be doing better. 
But I'll gladly take 3 points and no injuries today. 

#WBAMUN #MUFC"
123,Fri Dec 15 01:50:34 +0000 2017,"Land of the Free repeal #NetNeutrality 
Leaders of the Free World, apparently."
125,Wed Dec 13 21:37:17 +0000 2017,"Extremely pleased for Wazza. 
Scoring again. Winning again."
126,Wed Dec 13 21:36:07 +0000 2017,"Jonesy, Shaw and McTominay deserve praise. 
Fantastic performances. 

#MUFC #MUNBOU"
127,Wed Dec 13 21:28:02 +0000 2017,"Enough with the intricate touches and failed one two in the box. 

Keep it simple. Take defenders on and bury it!

#MUNBOU #MUFC"
128,Wed Dec 13 20:43:07 +0000 2017,"Shaw has been brilliant, hasn't he?!!"
129,Sun Dec 10 18:53:42 +0000 2017,"Lukaku. 

Proving that even the great Jose Mourinho makes mistakes in singing players."
130,Sun Dec 10 18:34:41 +0000 2017,"I love and adore Jose and his tactics. 

But we're basically not playing one half and only picking up the slack whe… https://t.co/UyEMnUlMQ6"
131,Sun Dec 10 18:29:12 +0000 2017,"Fuck off. Bloody hell. 

We're not done yet but 11 is unassailable."
132,Sun Dec 10 18:28:27 +0000 2017,"No Pogba and we're nothing. 

I've wanted to say this for a while now but one must always give players a chance. Bu… https://t.co/WEfCYHggDl"
133,Sun Dec 10 17:46:34 +0000 2017,"Lukaku. Assist king. 
Almost scored one for Arsenal last week. 

What are you up to!"
134,Sun Dec 10 17:28:47 +0000 2017,"Let's just go for it. 

If we win, season remains exciting. If don't, the season is over but at least we'd have giv… https://t.co/ddlDE6IRNE"
135,Sun Dec 10 17:26:56 +0000 2017,"Lingard. 
Yes, you've been playing well mate but you simply can't let David Silva run free in our box!

#MUFC #ManchesterDerby"
136,Sun Dec 10 17:25:54 +0000 2017,"Come on lads. We're better than this. 

I'd like to see Ibra on. 
Very winnable game, this. 

Come on United!

#MUFC #ManchesterDerby"
138,Sat Dec 09 16:28:45 +0000 2017,"@NeeleshJay 
Haven't we been saying this since last year? https://t.co/5fOljLfqcI"
139,Tue Dec 05 21:10:11 +0000 2017,"@SanketUikey 
You still don't get this game, do you? https://t.co/vkqbTPPMq3"
140,Tue Dec 05 20:58:30 +0000 2017,"Geez. Shaw means business today. 

Sharp and bright. 

#UCL #MUFC"
141,Sat Dec 02 19:32:57 +0000 2017,"Absolutely gutted about Pogba. 

But David de Gea. Greatest in the world by far. 

Solid game for Matic and Youngy and Lingard too."
142,Sat Dec 02 19:26:57 +0000 2017,"No Pogba against City. 

Baldie will be on the moon."
143,Sat Dec 02 19:05:20 +0000 2017,Fuck off. Just fuck off
144,Sat Dec 02 18:52:34 +0000 2017,"Thank God for Pogba. 

Sorry, Lingard. 
Please play like this every week! 

#ARSMUN #MUFC"
145,Sat Dec 02 18:32:30 +0000 2017,"@NeeleshJay Oh yeah. 
But as you said, shocking that we suddenly can't defend. 

Need to calm down and get 3 points."
146,Sat Dec 02 18:27:25 +0000 2017,"My heart's racing like almost never before.

Love this club, love this sport.

#MUFC #ARSMUN"
147,Sat Dec 02 18:25:37 +0000 2017,"I hope the 15 minute break and lots of tactics and encouragement from Jose brings some composure and control in our play.

Come On, United!"
149,Sat Dec 02 18:19:29 +0000 2017,"De Gea. 

Godlike!

#ARSMUN #MUFC"
150,Sat Dec 02 17:43:15 +0000 2017,"Lingard proving me wrong. 

Lovely play from Lukaku and Martial was 🔥"
151,Thu Nov 30 03:17:01 +0000 2017,"Look at Mo Salah. 

And we're happy if Lingard scores a wonder goal every 20 games. 

Need to improve relentlessly."
152,Tue Nov 28 21:52:39 +0000 2017,"Made it difficult for ourselves but definitely the better team. 

Good game. 3 points. Good night. 

#WATMUN #MUFC"
153,Tue Nov 28 20:34:02 +0000 2017,"Mahrez, Vardy with two beautiful goals. 

Playing like they did in their dream season!"
154,Tue Nov 28 20:32:38 +0000 2017,"50 million down the drain,
Tony Martial scores again!

#MUFC #WATMUN"
155,Tue Nov 28 20:25:52 +0000 2017,"Ashley Ronaldo. 

When was the last time we scored from a direct free kick?!?

Brilliant!

#MUFC #WATMUN"
156,Tue Nov 28 20:21:02 +0000 2017,"I've not seen very many goals on  the near side, but this was a bullet from Youngy.

What a finish!

#WATMUN #MUFC"
157,Sat Nov 25 17:22:49 +0000 2017,"Close, not convincing. 
These wins are delightful!"
158,Sat Nov 25 16:28:34 +0000 2017,"Come on Mikhi. 

Let's have a good good game today."
159,Sat Nov 25 16:24:35 +0000 2017,"Yeah!

Had a feeling we'll score from this set piece. 

Lucky but delighted!

#MUFC #MUNBHA"
161,Sat Nov 25 16:12:57 +0000 2017,Victor Lindelof. What a tackle!
162,Thu Nov 23 05:04:59 +0000 2017,"Darmian, Blind, Fellaini, Lingard, Smalling could and probably should face the axe. 

Can't afford to carry any dea… https://t.co/0uufaXbrZc"
163,Wed Nov 22 21:34:33 +0000 2017,"Yep. Deserved it. 

Little desire and effort to win today. https://t.co/jwnMk07Wxj"
164,Wed Nov 22 21:13:32 +0000 2017,"I see why Southgate dropped Smalling.

Every time he has the ball at his feet, he passes is sideways to fellow CB.… https://t.co/sSdmi01JuG"
165,Wed Nov 22 21:09:53 +0000 2017,"What the hell are we doing!?!

Focus lads."
166,Wed Nov 22 21:06:09 +0000 2017,"Thanks, boss. https://t.co/IRarzM7LzY"
167,Wed Nov 22 20:55:48 +0000 2017,"Please take Lingard off. 

Can't do anything well. 
Well, can't do anything!

#MUFC #UCL"
168,Wed Nov 22 20:50:23 +0000 2017,"@oleole1999 Probably. 

His cross for van Persie header for Holland was out of this world but not much since then."
169,Wed Nov 22 20:21:43 +0000 2017,Darmian and Blind contesting who is worse at crosses.
170,Sat Nov 18 18:08:11 +0000 2017,"Paul Pogba. 
Where have you been!

Fuck yeah!"
172,Tue Nov 14 03:16:57 +0000 2017,"Unbelievable. No Italy. No Gigi. 
No Holland. No USA. 

I really hope those who qualified can step into the shoes of these Giants."
173,Sun Nov 05 18:33:34 +0000 2017,"Lukaku has to do more. 
Yes, he lacked service but horrendous first touches, ball retention poor too.
Just having a good nature isn't enough"
174,Sun Nov 05 18:28:53 +0000 2017,"This is not the standard of football we have at this club. 

#MUFC #CHEMUN"
175,Sun Nov 05 18:28:09 +0000 2017,"I don't care if Pog is out and Ibra is out and whoever the fuck else is out.
We have to perform better, attack better. 

#MUFC #CHEMUN"
176,Tue Oct 31 21:23:39 +0000 2017,Blind is one of the coolest set piece takers.
177,Tue Oct 31 20:30:40 +0000 2017,"Haha. Matic. 

1-0!"
179,Tue Oct 31 20:24:15 +0000 2017,"Young Scott has been solid in the midfield. 
Will learn a lot but good start for him. 

#MUFC"
180,Tue Oct 31 19:59:59 +0000 2017,"Martial. Oh,.dear."
181,Sat Oct 28 13:29:00 +0000 2017,"Come on Premier League, delight us with some upsets now.
Start with City, please!

#MUNTOT"
182,Sat Oct 28 13:26:53 +0000 2017,"50 million down the drain,
Tony Martial scores again!

#MUFC #MUNTOT"
183,Sat Oct 28 13:26:06 +0000 2017,"Love Poch. He's an incredible manager and has a great squad.

Thanks for the good game and wish you the very best for the season!

#MUNTOT"
184,Sat Oct 28 13:25:14 +0000 2017,"Exciting game, fantastic win.
We can do better and we will do better.

Glory Glory Man United!

#MUFC #MUNTOT"
185,Sat Oct 28 12:21:46 +0000 2017,"Competitive and the crowd on its feet. 

What a wonderful, fiery football game, this.

#MUFC #MUNTOT"
186,Tue Oct 24 20:29:15 +0000 2017,"Yes, Luke.

Let this be his season!"
187,Tue Oct 24 20:24:54 +0000 2017,"Really hope Bailly and Jonesy are back in defense for the Spurs game. 
Otherwise Kane will slaughter us. 

#MUFC"
188,Tue Oct 24 19:09:31 +0000 2017,"Good vision from Ander, lovely touch from Rash and then neat finish Lingard. 

Definition of an enjoyable goal. 

#MUFC"
189,Tue Oct 24 08:01:52 +0000 2017,"I've noticed we always lose the games in and around Wazza's birthday.

Chelsea 4-0, City 6-1
Now Huddersfield. 

Strong correlation. 
#MUFC"
190,Wed Oct 18 19:41:41 +0000 2017,"Very poor performance again.
Midfield virtually non existant.

Herrera has been having mares in these last two games!
Micki shocking too"
192,Sat Oct 14 15:44:29 +0000 2017,"7-2. Baldie gone crazy. 

Don't see us winning the league if they keep playing this way. 

#MCISTK #MUFC"
193,Sat Oct 14 13:27:09 +0000 2017,What a disappointing game.
194,Sat Oct 14 12:22:32 +0000 2017,"I'm sure Jose has a plan.
Lukaku miss certainly doesn't help the cause though.
Should be scoring those.
#LIVMUN #MUFC"
195,Sat Oct 14 12:21:22 +0000 2017,"Get Rash on for Youngy.
Maybe he picked up a knock in the internationals, but this Liverpool defense should be shattered.

#LIVMUN #MUFC"
196,Sat Oct 14 12:19:53 +0000 2017,"David de Gea is a gem left to us by Fergie.
Saves us so many points. Best in the world!

#DaveSaves #LIVMUN"
197,Sat Oct 14 12:18:44 +0000 2017,"Herrera worst game in a United shirt.
What's he been up to!?!"
198,Sat Oct 14 11:15:48 +0000 2017,"Proper excited about this game. 

Come on United!"
200,Sat Sep 30 16:02:18 +0000 2017,"Another 4-0.
Grateful and delighted but big games coming up.

Just hope that nobody gets injured in the international break!

#MUFC #MUNCRY"
202,Wed Sep 27 20:34:53 +0000 2017,Hate it when we let in late goals.
203,Wed Sep 27 20:05:00 +0000 2017,"How much did Spurs want Martial for. 
58 million bargain!"
204,Wed Sep 27 20:01:15 +0000 2017,"4-0

Grateful for these after the 1-1s"
205,Wed Sep 27 19:13:39 +0000 2017,"Absolutely delighted to see Rom celebrating for a second and then asking Lindelof to do something better. 
Class. 

#MUFC #UCL"
206,Wed Sep 27 19:04:51 +0000 2017,"Tony Martial!
2-0. 

Need to stay focused now though. Shouldn't be throwing it away."
207,Wed Sep 27 18:50:50 +0000 2017,"What a ball from Lukaku to begin with.
Top class cross from Tony. 
Simple finish for big Rom!"
208,Wed Sep 27 18:47:02 +0000 2017,"Lets do this. 
Come on United!"
209,Sun Sep 24 12:52:04 +0000 2017,"@ScholesEsqueJr Is it legal in India?
Because if it is it could be pretty cool!"
210,Sat Sep 23 17:41:55 +0000 2017,"Valencia was horrible today. 
Specially in the second half. Out of position, wandering really. 
Slide tackle in opposition half. 

Very poor"
212,Sat Sep 23 17:39:35 +0000 2017,@ScholesEsqueJr Which site is this?
213,Sat Sep 23 16:05:22 +0000 2017,"@Sadikshya_ Away against CSKA in CL next.
Rested Lingard, Martial and got the job done today.

Typical Boss."
214,Sat Sep 23 15:57:15 +0000 2017,"Must win games like this to win championships.
Love it. 

#MUFC #SOUMUN"
215,Thu Sep 21 05:01:17 +0000 2017,"@NeeleshJay It's a long season but if we keep can players fit, I think we can bring back United of the Old. 
Still… https://t.co/CyxMIFdOWI"
216,Wed Sep 20 20:50:45 +0000 2017,"Such a shame we conceded. 
Good game. Good night."
217,Wed Sep 20 20:18:59 +0000 2017,"Fifty million down the drain,
Tony Martial scores again."
218,Wed Sep 20 19:28:11 +0000 2017,"Oh dear, our defense always gives us something to worry about."
219,Wed Sep 20 19:19:23 +0000 2017,"Wow. This was really quite something. 
2-0. Rash, you beaut!"
220,Wed Sep 20 19:06:28 +0000 2017,"Rashers!
1-0"
221,Tue Sep 19 16:05:10 +0000 2017,Stuck in the middle of nowhere listening to What a Wonderful World.
222,Sun Sep 17 17:02:23 +0000 2017,"Oh Jose, we love you.

#TheSpecialOne #MUFC"
224,Sun Sep 17 16:58:39 +0000 2017,"De Gea and back four get full marks again. 
If we can keep them fit, I'm very confident we'll have the best defensive record.
#MUFC #MUNEVE"
225,Sun Sep 17 16:57:17 +0000 2017,"Mark of champions to win (and win emphatically) on days like this.

Love the character of this team.

#MUFC #MUNEVE"
226,Sun Sep 17 15:56:49 +0000 2017,"Doesn't look like we're fully focused in the game. 
Need to step up.

#MUFC #MUNEVE"
227,Sun Sep 17 15:55:32 +0000 2017,"Scores a worldie. Can't complete a cross. 

Antonio Valencia for you. 

#MUFC #MUNEVE"
228,Tue Sep 12 20:37:15 +0000 2017,"Good game. 
Back in the CL with a victory. Need to kick on now and win the group."
230,Tue Aug 29 04:32:14 +0000 2017,"Ed, Jose can we please get Alexis?
It'll be just like van Persie. 
And what had happened when we'd signed him?
The PL. 

#MUFC"
231,Sun Aug 27 15:34:16 +0000 2017,Arsenal make Henderson look like a half decent midfielder.
232,Sun Aug 27 15:24:17 +0000 2017,"Is Alexis even playing? :P

Time to move to a big club, old boy."
233,Sun Aug 27 15:21:39 +0000 2017,"It's like a training session for Liverpool.
Arsenal are horrible even by their own poor standards."
234,Sun Aug 27 15:20:28 +0000 2017,"Özil. 
Sleeping. Unbelievable. 

Shows no desire to run or win the ball back."
235,Sat Aug 26 17:22:28 +0000 2017,"Valencia hasn't managed 1, may be 2 successful crossed in the whole of his United career.

Running and pace aren't enough.

#MUFC #MUNLEI"
236,Thu Aug 24 16:00:42 +0000 2017,"Was always going to happen. 

#DareToZlatan https://t.co/zIXQRK1v73"
238,Sat Aug 19 12:18:46 +0000 2017,"We always find a way.
1-0

Let's bring on Martial and finish these Welshmen!

#MUFC #SWAMUN"
240,Sun Aug 13 17:03:35 +0000 2017,"Brilliant game. Great performances.

Not reading too much into this win, but thoroughly enjoyed today.

#MUFC #MUNWHU"
241,Sun Aug 13 15:55:41 +0000 2017,"I've waited 10 years for United to attack the opponent when they have the ball.

Matic does it, Big Rom scores.
Delighted.

#MUFC #MUNWHU"
242,Sun Aug 13 15:54:24 +0000 2017,"No wonder Mou likes Matic.
Discipline and flair.

Wonderful player.

#MUFC #MUNWHU"
244,Fri Aug 11 18:51:26 +0000 2017,"Bloody hell. 

1-1 in 5'. Where were you PL?!?"
245,Fri Aug 11 18:49:30 +0000 2017,"What a start to the PL. 

Loving it!"
